model_key,variant,n_rel,pearson_vs_default,pearson_p,spearman_vs_default,spearman_p,mean_abs_delta
gemma_7b_it,default_chat,21,0.9999999999999998,2.557517359705434e-147,1.0,0.0,0.0
gemma_7b_it,subj_shallow_chat,21,0.996919337961448,1.793110479691131e-22,0.9818181818181818,3.57035224156752e-15,0.01894149751890273
gemma_7b_it,obj_shallow_chat,21,0.9803482358654234,7.430136824864882e-15,0.9532467532467532,2.5176424662475392e-11,0.1276282554581052
gemma_7b_it,default_plain,21,0.9809372309065367,5.577514573172377e-15,0.8558441558441559,7.537531330491883e-07,0.026938779013497487
llama3_1_8b_instruct,default_chat,21,0.9999999999999998,2.557517359705434e-147,1.0,0.0,0.0
llama3_1_8b_instruct,subj_shallow_chat,21,0.9667466777802023,1.0426659691772462e-12,0.9675324675324675,8.33318722559804e-13,0.09444633268174671
llama3_1_8b_instruct,obj_shallow_chat,21,0.9999999999999998,2.557517359705434e-147,1.0,0.0,0.0
llama3_1_8b_instruct,default_plain,21,0.8009775857402167,1.2858728404855151e-05,0.8220779220779221,4.842313369757487e-06,0.0295722002074832
mistral_7b_instruct,default_chat,21,1.0,0.0,1.0,0.0,0.0
mistral_7b_instruct,subj_shallow_chat,21,0.9951841585215734,1.2415714788543085e-20,0.9883116883116884,5.5044143548490815e-17,0.04071072737375895
mistral_7b_instruct,obj_shallow_chat,21,0.9952340475934647,1.124842278702889e-20,0.9896103896103896,1.80692892694147e-17,0.0883115515822456
mistral_7b_instruct,default_plain,21,0.9858737576393857,3.297834561804364e-16,0.9844155844155844,8.338447232167685e-16,0.022724016791298273
qwen2_5_7b_instruct,default_chat,21,1.0,0.0,1.0,0.0,0.0
qwen2_5_7b_instruct,subj_shallow_chat,21,0.9757869858526691,5.302225420812642e-14,0.9662337662337662,1.2034510793723e-12,0.045631429978779385
qwen2_5_7b_instruct,obj_shallow_chat,21,0.9881958715046817,6.04222810684071e-17,0.9805194805194805,6.841881880876494e-15,0.08026363026528131
qwen2_5_7b_instruct,default_plain,21,0.9066991953683916,1.4845821069230954e-08,0.8363636363636363,2.3196074473363646e-06,0.030909157934642974
