model_name,model_id,relation,num_layers,subject_layer,object_layer,n_total,n_train,n_test,cos_mean,cos_std,base_cos_mean,base_cos_std,cos_improvement,mse
gemma_7b_it,google/gemma-7b-it,father,28,14,26,64.0,48.0,16.0,0.857421875,0.034942626953125,0.1864013671875,0.0294647216796875,0.6708984375,0.154541015625
gemma_7b_it,google/gemma-7b-it,instrument,28,14,26,64.0,48.0,16.0,0.8798828125,0.0213165283203125,0.1357421875,0.0180511474609375,0.744140625,0.1317138671875
gemma_7b_it,google/gemma-7b-it,sport,28,14,26,64.0,48.0,16.0,0.87451171875,0.0300140380859375,0.1337890625,0.018646240234375,0.74072265625,0.1397705078125
gemma_7b_it,google/gemma-7b-it,company_ceo,28,14,26,64.0,48.0,16.0,0.79248046875,0.051544189453125,0.153564453125,0.021636962890625,0.638671875,0.2030029296875
