spec,n,r2,adj_r2,aic,bic
FE only,60,0.3919933684338537,0.359421584599953,34.31031085377056,42.687689102658965
FE + Top1,60,0.39287295753616314,0.3487182635387932,36.223447397536646,46.69517020864715
FE + Entropy,60,0.40160288648951925,0.35808309641602976,35.35443968667725,45.826162497787756
FE + Δcos,60,0.6666105715492829,0.642364067661958,0.2578391989670621,10.729562010077565
FE + Top1 + Δcos,60,0.6699851207399643,0.6394281874751462,1.647428035150071,14.213495408482672
FE + Entropy + Δcos,60,0.6675428144241544,0.6367597416856502,2.0898287056718488,14.65589607900445
