spec,term,coef,se_hc3,p_hc3,t_hc3
FE + Top1,top1,-0.06753095449804719,0.2263465500926173,0.7654344911430321,-0.2983520379277468
FE + Entropy,entropy,0.1662331562889322,0.24072524486774532,0.4898474943560329,0.6905514059410797
FE + Δcos,delta_cos,1.8585997882912562,0.2852115374762678,7.193519938970544e-11,6.516565931158758
FE + Top1 + Δcos,delta_cos,1.8697613246243312,0.28844738820152677,9.042033367999064e-11,6.482157235960143
FE + Top1 + Δcos,top1,-0.1324668515826292,0.1468377421821663,0.36698738289510213,-0.9021308119699318
FE + Entropy + Δcos,delta_cos,1.8444808003507478,0.2908897221493572,2.2853813241930432e-10,6.340824924036676
FE + Entropy + Δcos,entropy,0.052214573603908666,0.12187110641054696,0.6683301103896238,0.42844095817111505
