model_name,model_id,relation,num_layers,subject_layer,object_layer,n_total,n_train,n_test,cos_mean,cos_std,base_cos_mean,base_cos_std,cos_improvement,mse,dir_l2,dir_rms,subj_test_l2_mean,obj_test_l2_mean,ohat_test_l2_mean,subj_test_rms_global,obj_test_rms_global,ohat_test_rms_global,ratio_ohat_obj_rms,ratio_dir_obj_rms,rmse,nrmse
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,father,32,16,30,991.0,743.0,248.0,0.5515915155410767,0.09300148487091064,0.13852645456790924,0.032819077372550964,0.4130650758743286,0.08843681216239929,12.759517669677734,0.1993674784898758,4.3482747077941895,22.534997940063477,13.233052253723145,0.06813900172710419,0.3563249111175537,0.2067776769399643,0.5803065418324537,0.5595103577351171,0.29738327485317545,0.8345845759692967
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,instrument,32,16,30,513.0,384.0,129.0,0.8621261119842529,0.04875342920422554,0.13787537813186646,0.020901663228869438,0.7242507338523865,0.038781218230724335,21.228023529052734,0.331687867641449,4.13057804107666,24.89258575439453,21.601125717163086,0.06465858221054077,0.38938766717910767,0.33752375841140747,0.8668064935279242,0.8518191396339984,0.19692947527154064,0.5057414290947555
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,sport,32,16,30,318.0,238.0,80.0,0.9149094820022583,0.025440584868192673,0.13457359373569489,0.019570810720324516,0.7803359031677246,0.02591928280889988,23.01651382446289,0.3596329987049103,4.141993522644043,25.48764419555664,23.362316131591797,0.06483405083417892,0.39853334426879883,0.3650420308113098,0.9159635851302418,0.9023912399697381,0.16099466702005963,0.403967872035996
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,company_ceo,32,16,30,298.0,223.0,75.0,0.6606370806694031,0.05834550783038139,0.19336414337158203,0.027617964893579483,0.46727293729782104,0.03153761476278305,9.33578872680664,0.14587169885635376,4.815699100494385,14.876056671142578,10.038537979125977,0.07572795450687408,0.23567742109298706,0.1568988859653473,0.6657357554111081,0.6189464318611192,0.17758832946672776,0.7535228815827306
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,company_hq,32,16,30,674.0,505.0,169.0,0.7707667350769043,0.0959504172205925,0.15669651329517365,0.030293721705675125,0.6140702366828918,0.05784228816628456,18.146852493286133,0.2835445702075958,4.232308387756348,24.134584426879883,18.67940330505371,0.0662911981344223,0.3793807029724121,0.2918723523616791,0.7693389518078209,0.7473879614469144,0.24050423731461482,0.6339390365130667
mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,country_language,32,16,30,24.0,18.0,6.0,0.8922544121742249,0.03986206278204918,0.20186124742031097,0.021604064851999283,0.6903931498527527,0.037726689130067825,24.849315643310547,0.3882705569267273,6.11757230758667,27.460023880004883,25.473960876464844,0.09583990275859833,0.4299278259277344,0.3980315029621124,0.9258100521925531,0.9031063669535262,0.1942335942365991,0.45178186319299934
