model_key,relation_key,n_total,n_refusal,n_correct,n_hallucination,n_other,hall_rate_answered,hall_rate_unknown,cos_improvement
qwen2_5_7b_instruct,person_plays_position_in_sport,952,0,368,584,0,0.6134453781512605,1.0,0.6116463541984558
qwen2_5_7b_instruct,person_plays_pro_sport,318,1,272,45,0,0.1419558359621451,0.9782608695652174,0.6171863079071045
qwen2_5_7b_instruct,person_university,91,0,27,64,0,0.7032967032967034,1.0,0.4944808781147003
qwen2_5_7b_instruct,product_by_company,522,1,363,158,0,0.3032629558541266,0.9937106918238994,0.5147430896759033
qwen2_5_7b_instruct,star_constellation,362,0,277,85,0,0.2348066298342541,1.0,0.5013437271118164
qwen2_5_7b_instruct,substance_phase,50,0,50,0,0,0.0,,0.5738314390182495
qwen2_5_7b_instruct,superhero_archnemesis,96,0,25,71,0,0.7395833333333334,1.0,0.4588209092617035
qwen2_5_7b_instruct,superhero_person,100,2,39,59,0,0.6020408163265306,0.9672131147540984,0.4816144704818725
qwen2_5_7b_instruct,task_done_by_tool,52,0,25,27,0,0.5192307692307693,1.0,0.4283961653709411
qwen2_5_7b_instruct,word_sentiment,60,0,60,0,0,0.0,,0.5992432236671448
