model_key,model_name,split,relation,total,refusal,hallucination,other,refusal_rate,refusal_ci_low,refusal_ci_high,halluc_rate,halluc_ci_low,halluc_ci_high,lre_model_name,lre_model_id,num_layers,subject_layer,object_layer,n_total,n_train,n_test,cos_mean,cos_std,base_cos_mean,base_cos_std,cos_improvement,mse
mistral_7b_instruct,mistral_7b_instruct_baseline,future,instrument,1000,49,951,0,0.049,0.0372608473061714,0.0641910152187527,0.951,0.9358089847812472,0.9627391526938284,mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,32,16,30,513.0,384.0,129.0,0.8621261119842529,0.0487534292042255,0.1378753781318664,0.0209016632288694,0.7242507338523865,0.0387812182307243
mistral_7b_instruct,mistral_7b_instruct_relpanel,relpanel_q,sport,1000,75,925,0,0.075,0.0602515618187045,0.0930013019797274,0.925,0.9069986980202728,0.9397484381812956,mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,32,16,30,318.0,238.0,80.0,0.9149094820022584,0.0254405848681926,0.1345735937356948,0.0195708107203245,0.7803359031677246,0.0259192828088998
mistral_7b_instruct,mistral_7b_instruct_relpanel,relpanel_q,company_ceo,1000,841,159,0,0.841,0.817035989537914,0.8623540656261677,0.159,0.1376459343738323,0.182964010462086,mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,32,16,30,298.0,223.0,75.0,0.6606370806694031,0.0583455078303813,0.193364143371582,0.0276179648935794,0.467272937297821,0.031537614762783
mistral_7b_instruct,mistral_7b_instruct_relpanel,relpanel_q,company_hq,1000,19,981,0,0.019,0.0121967877374041,0.0294846887027035,0.981,0.9705153112972964,0.9878032122625958,mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,32,16,30,674.0,505.0,169.0,0.7707667350769043,0.0959504172205925,0.1566965132951736,0.0302937217056751,0.6140702366828918,0.0578422881662845
mistral_7b_instruct,mistral_7b_instruct_relpanel,relpanel_q,country_language,1000,58,942,0,0.058,0.0451330700715937,0.0742499082787754,0.942,0.9257500917212244,0.9548669299284064,mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,32,16,30,24.0,18.0,6.0,0.8922544121742249,0.0398620627820491,0.2018612474203109,0.0216040648519992,0.6903931498527527,0.0377266891300678
qwen2_5_7b_instruct,qwen2_5_7b_instruct_baseline,future,father,1000,160,840,0,0.16,0.1385848925344839,0.1840173985042616,0.84,0.8159826014957384,0.861415107465516,qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,28,14,26,991.0,743.0,248.0,0.702400267124176,0.1123818457126617,0.311285138130188,0.0490070506930351,0.391115128993988,21.823522567749023
qwen2_5_7b_instruct,qwen2_5_7b_instruct_baseline,future,instrument,1000,185,815,0,0.185,0.1621544065575975,0.2102565395518285,0.815,0.7897434604481715,0.8378455934424025,qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,28,14,26,513.0,384.0,129.0,0.9282584190368652,0.0269905887544155,0.3035911023616791,0.0304275378584861,0.6246672868728638,6.245115756988525
qwen2_5_7b_instruct,qwen2_5_7b_instruct_relpanel,relpanel_q,sport,1000,96,904,0,0.096,0.0792566195200465,0.115835514537757,0.904,0.884164485462243,0.9207433804799536,qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,28,14,26,318.0,238.0,80.0,0.9254366159439088,0.0196559838950634,0.3079361319541931,0.0332062728703022,0.6175004839897156,5.808859825134277
qwen2_5_7b_instruct,qwen2_5_7b_instruct_relpanel,relpanel_q,company_ceo,1000,795,205,0,0.795,0.7688717990970235,0.8188703307370062,0.205,0.1811296692629938,0.2311282009029766,qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,28,14,26,298.0,223.0,75.0,0.8095816373825073,0.0415223874151706,0.3650015890598297,0.0334700644016265,0.4445800483226776,8.228523254394531
qwen2_5_7b_instruct,qwen2_5_7b_instruct_relpanel,relpanel_q,company_hq,1000,45,955,0,0.045,0.0337993348428463,0.059683142870769,0.955,0.940316857129231,0.9662006651571536,qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,28,14,26,674.0,505.0,169.0,0.8641712069511414,0.0565403178334236,0.3485674858093261,0.0307414755225181,0.5156037211418152,12.476454734802246
qwen2_5_7b_instruct,qwen2_5_7b_instruct_relpanel,relpanel_q,country_language,1000,856,144,0,0.856,0.8328758480857206,0.8763994001207693,0.144,0.1236005998792306,0.1671241519142794,qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,28,14,26,24.0,18.0,6.0,0.9514816403388976,0.0184379499405622,0.420781522989273,0.0359909795224666,0.5307000875473022,4.789844512939453
