model_key,metric,n_rel,pearson_r,pearson_p_two,spearman_rho,spearman_p_two,perm_p_one,perm_p_two,r_weighted,slope,intercept
gemma_7b_it,answered,21,-0.5395705346906107,0.011587334116738129,-0.5467532467532468,0.010324082786185743,0.9952,0.0125,-0.16962335211244897,-0.9203342198128683,1.0907359933841843
gemma_7b_it,unknown,21,0.5979343839596211,0.004198221613594479,0.3881569438515551,0.08207591001899942,0.00365,0.00365,0.8688987454506527,1.1715731249207204,0.08464819053030469
llama3_1_8b_instruct,answered,21,-0.7334040372536326,0.0001549896169471417,-0.7441558441558441,0.00010979854693235139,0.99985,0.00025,-0.7873860183946424,-1.3578077020978312,1.253061690064262
llama3_1_8b_instruct,unknown,21,-0.09391408880220414,0.6855417879521363,0.015875738283785062,0.9455461046921374,0.6329,0.70295,-0.3622057573587348,-0.08324456819090208,0.9905693742039747
mistral_7b_instruct,answered,21,-0.5851760184905113,0.005325582350123624,-0.5547255895037692,0.009055958159065961,0.99725,0.0051,-0.7074448947274156,-0.8786754730991667,0.9118248777349555
mistral_7b_instruct,unknown,21,-0.08948282123325109,0.6996982950477879,0.04421330136187546,0.8490766098276583,0.644,0.70215,0.15501415983360825,-0.059448992387686334,0.9405991695957773
qwen2_5_7b_instruct,answered,21,-0.6188597771088276,0.002780861521692825,-0.5878532300947436,0.00507031407071055,0.99835,0.00345,-0.6313843297080829,-2.184146815443514,1.606185445425585
qwen2_5_7b_instruct,unknown,21,-0.16040601371482388,0.5118274826508832,0.07196526355411087,0.7696958199157337,0.61075,0.67885,-0.04194158328676011,-0.33417083115980384,1.1243880221661113
