model_key,relation_key,cos_improvement,n_test,subject_layer,object_layer,direction_norm
gemma_7b_it,adj_antonym,0.6385936141014099,25,14,26,35.44827651977539
gemma_7b_it,adj_comparative,0.6507962346076965,17,14,26,37.21455764770508
gemma_7b_it,adj_superlative,0.6475794911384583,20,14,26,36.587379455566406
gemma_7b_it,characteristic_gender,0.7928329706192017,8,14,26,43.52239227294922
gemma_7b_it,city_in_country,0.7192582488059998,7,14,26,36.69240188598633
gemma_7b_it,company_ceo,0.440256655216217,75,14,26,17.751041412353516
gemma_7b_it,company_hq,0.6451538801193237,169,14,26,33.22770690917969
gemma_7b_it,country_capital_city,0.6861083507537842,6,14,26,35.74446487426758
gemma_7b_it,country_currency,0.5563116073608398,8,14,26,35.34498596191406
gemma_7b_it,country_language,0.7550403475761414,6,14,26,41.33991622924805
gemma_7b_it,country_largest_city,0.6861820220947266,6,14,26,37.42905044555664
gemma_7b_it,degree_gender,0.8096144795417786,10,14,26,41.953861236572266
gemma_7b_it,food_from_country,0.7346063256263733,8,14,26,37.62571334838867
gemma_7b_it,fruit_inside_color,0.7938538789749146,9,14,26,43.40778350830078
gemma_7b_it,fruit_outside_color,0.7544302940368652,8,14,26,42.59869766235352
gemma_7b_it,landmark_in_country,0.7504284977912903,209,14,26,39.81389236450195
gemma_7b_it,landmark_on_continent,0.7937562465667725,237,14,26,42.0987663269043
gemma_7b_it,name_birthplace,0.7863860726356506,8,14,26,41.8226203918457
gemma_7b_it,name_gender,0.8023392558097839,5,14,26,45.73334884643555
gemma_7b_it,name_religion,0.7507916688919067,8,14,26,40.81879806518555
gemma_7b_it,object_superclass,0.7768006920814514,19,14,26,47.49588394165039
gemma_7b_it,occupation_age,0.7480821013450623,12,14,26,41.383636474609375
gemma_7b_it,occupation_gender,0.7675042152404785,5,14,26,42.728797912597656
gemma_7b_it,person_band_lead_singer,0.5189715027809143,6,14,26,28.26803207397461
gemma_7b_it,person_father,0.4925845563411712,248,14,26,24.54578018188477
gemma_7b_it,person_mother,0.4662140309810638,249,14,26,21.673429489135746
gemma_7b_it,person_native_language,0.7857848405838013,230,14,26,41.66837310791016
gemma_7b_it,person_occupation,0.7704323530197144,206,14,26,44.70005416870117
gemma_7b_it,person_plays_instrument,0.8002230525016785,129,14,26,43.630069732666016
gemma_7b_it,person_plays_position_in_sport,0.7599608302116394,238,14,26,41.18481063842773
gemma_7b_it,person_plays_pro_sport,0.7855781316757202,80,14,26,42.380821228027344
gemma_7b_it,person_university,0.6384598612785339,23,14,26,30.902738571166992
gemma_7b_it,pokemon_evolutions,0.5032449960708618,11,14,26,24.73543930053711
gemma_7b_it,presidents_birth_year,0.6997381448745728,5,14,26,37.82313919067383
gemma_7b_it,presidents_election_year,0.6933068037033081,5,14,26,37.01172256469727
gemma_7b_it,product_by_company,0.6393634676933289,131,14,26,33.773902893066406
gemma_7b_it,star_constellation,0.6581429839134216,91,14,26,35.075653076171875
gemma_7b_it,substance_phase,0.7931289672851562,13,14,26,46.47185516357422
gemma_7b_it,superhero_archnemesis,0.4780444800853729,24,14,26,23.56469345092773
gemma_7b_it,superhero_person,0.5184692144393921,25,14,26,25.169761657714844
gemma_7b_it,task_done_by_person,0.642620325088501,8,14,26,37.30849838256836
gemma_7b_it,task_done_by_tool,0.5854924917221069,13,14,26,32.856327056884766
gemma_7b_it,verb_past_tense,0.7157633900642395,19,14,26,38.95864486694336
gemma_7b_it,word_first_letter,0.7192797660827637,61,14,26,39.05386734008789
gemma_7b_it,word_last_letter,0.7038382291793823,61,14,26,38.33425521850586
gemma_7b_it,word_sentiment,0.8014899492263794,15,14,26,47.29744338989258
gemma_7b_it,work_location,0.6508609056472778,10,14,26,39.62978744506836
llama3_1_8b_instruct,adj_antonym,0.5989082455635071,25,16,30,35.599342346191406
llama3_1_8b_instruct,adj_comparative,0.6558966636657715,17,16,30,36.41168212890625
llama3_1_8b_instruct,adj_superlative,0.6477795243263245,20,16,30,35.123313903808594
llama3_1_8b_instruct,characteristic_gender,0.7838612794876099,8,16,30,46.20891189575195
llama3_1_8b_instruct,city_in_country,0.7013161778450012,7,16,30,37.25958251953125
llama3_1_8b_instruct,company_ceo,0.5657310485839844,75,16,30,19.585193634033203
llama3_1_8b_instruct,company_hq,0.7038267850875854,169,16,30,38.70832061767578
llama3_1_8b_instruct,country_capital_city,0.6699814200401306,6,16,30,34.82786560058594
llama3_1_8b_instruct,country_currency,0.6307504773139954,8,16,30,34.060394287109375
llama3_1_8b_instruct,country_language,0.7052882313728333,6,16,30,40.98933792114258
llama3_1_8b_instruct,country_largest_city,0.6587800979614258,6,16,30,38.30015182495117
llama3_1_8b_instruct,degree_gender,0.8008987307548523,10,16,30,49.27543258666992
llama3_1_8b_instruct,food_from_country,0.730952262878418,8,16,30,38.58665466308594
llama3_1_8b_instruct,fruit_inside_color,0.7352008819580078,9,16,30,41.75038146972656
llama3_1_8b_instruct,fruit_outside_color,0.7085906863212585,8,16,30,41.68115234375
llama3_1_8b_instruct,landmark_in_country,0.7424097657203674,209,16,30,39.523475646972656
llama3_1_8b_instruct,landmark_on_continent,0.777496874332428,237,16,30,41.13946533203125
llama3_1_8b_instruct,name_birthplace,0.7996903657913208,8,16,30,42.25819396972656
llama3_1_8b_instruct,name_gender,0.8328828811645508,5,16,30,45.57502746582031
llama3_1_8b_instruct,name_religion,0.8011112213134766,8,16,30,42.66098403930664
llama3_1_8b_instruct,object_superclass,0.7631425261497498,19,16,30,40.49165725708008
llama3_1_8b_instruct,occupation_age,0.7461028099060059,12,16,30,46.309757232666016
llama3_1_8b_instruct,occupation_gender,0.7636661529541016,5,16,30,48.23202896118164
llama3_1_8b_instruct,person_band_lead_singer,0.6021677851676941,6,16,30,30.433591842651367
llama3_1_8b_instruct,person_father,0.5182269811630249,248,16,30,21.177350997924805
llama3_1_8b_instruct,person_mother,0.4936686158180237,249,16,30,18.706268310546875
llama3_1_8b_instruct,person_native_language,0.8160816431045532,230,16,30,42.45487976074219
llama3_1_8b_instruct,person_occupation,0.7737686634063721,206,16,30,40.2147102355957
llama3_1_8b_instruct,person_plays_instrument,0.7849685549736023,129,16,30,42.162540435791016
llama3_1_8b_instruct,person_plays_position_in_sport,0.7718902230262756,238,16,30,39.259765625
llama3_1_8b_instruct,person_plays_pro_sport,0.7754021883010864,80,16,30,41.46984100341797
